"","CountryID","IDSCHOOL","IDSTUD","Gender","Num_of_Books","Born_in_Country","EmotionalFactor","MathematicalTendencyFactor","ses","y"
"212","792","5011.T","50110113","2","1","2","0.0886346194271426","0.508570368727825","11",551.511744
"213","792","5011.T","50110114","2","1","2","0.413579981159622","0.473232464465304","12",449.19365
"214","792","5011.T","50110116","2","3","2","0.494326592203483","0.458325204321145","13",604.748108
"215","792","5011.T","50110117","2","1","2","0.232480788065613","0.881531554121339","11",455.617044
"216","792","5011.T","50110119","2","1","2","0.233850542061702","0.981735751505961","9",472.799774
"217","792","5012.T","50120901","2","2","2","-0.488750031527646","0.185729282687301","13",602.73786
"219","792","5012.T","50120905","1","2","2","0.56493178630794","1.3150770744977","12",748.466542
"220","792","5012.T","50120907","1","3","2","0.416399390685835","1.37256751386105","15",635.331276
"221","792","5012.T","50120908","2","2","2","0.822395717647222","0.195420435520068","12",607.031916
"222","792","5012.T","50120909","1","2","2","0.0525717994538867","0.889045465035346","13",593.309196
"223","792","5012.T","50120910","2","1","2","0.273152720964828","0.117248738435266","14",641.104352
"224","792","5012.T","50120911","1","5","2","0.428261058383206","0.390212755682472","12",508.925708
"227","792","5012.T","50120915","2","2","2","0.464481166378831","0.788059756542102","14",636.437874
"228","792","5012.T","50120916","2","2","2","-2.52130195850971","-1.48906456676104","13",560.862032
"229","792","5012.T","50120917","1","1","2","-2.35283825003276","-1.14574858990461","14",528.615542
"232","792","5012.T","50120920","1","3","2","-1.00137574346332","-0.298973773865666","13",556.077354
"233","792","5012.T","50120921","1","2","2","-0.071285692350053","-0.0364625573494491","12",582.23014
"234","792","5012.T","50120923","2","1","2","0.538008452973428","0.632828932629846","13",609.722768
"235","792","5012.T","50120927","2","3","2","0.494916447148111","0.953917778605106","12",601.094766
"236","792","5012.T","50120929","2","5","2","0.647624681847419","1.2938750365579","15",604.299592
"237","792","5012.T","50120931","1","2","2","-0.69071085413102","-0.656284768071619","14",559.980688
"238","792","5012.T","50120932","1","3","2","0.53529499622856","1.30516652346643","14",648.63829
"239","792","5012.T","50120933","1","2","2","-0.508691973344149","-1.07926279531786","13",517.458028
"240","792","5012.T","50120934","1","3","2","0.711290161777757","-0.32474009699025","12",480.798434
"241","792","5012.T","50120935","1","3","2","0.205236046772902","0.0177314525684243","15",539.346322
"242","792","5012.T","50120936","2","2","2","-3.3036361022383","-1.46662804321177","13",532.960518
"243","792","5012.T","50120937","2","4","2","0.647624681847419","1.2938750365579","14",521.349454
"244","792","5012.T","50120939","2","2","2","-2.82905389590468","-1.79681884416197","12",504.03091
"245","792","5012.T","50120940","2","3","2","-0.0420854093482408","0.60814561887683","16",519.643344
"246","792","5013.T","50130301","2","3","2","0.234857105640626","1.04793830548795","14",625.012078
"247","792","5013.T","50130302","1","4","2","0.685488021509168","1.10321728538923","15",670.284434
"248","792","5013.T","50130303","1","3","2","0.0303685505114027","1.34989034162957","14",509.304072
"249","792","5013.T","50130304","2","4","2","0.671079840995616","0.895671703682571","15",663.904058
"250","792","5013.T","50130305","2","3","2","0.164285725987885","-0.497671316603356","14",521.567612
"251","792","5013.T","50130306","1","3","2","0.470696491191865","1.32934614112943","13",654.007126
"252","792","5013.T","50130307","2","3","2","0.122776581466448","1.05003435329291","13",569.524098
"253","792","5013.T","50130309","1","5","2","0.647624681847419","1.2938750365579","15",668.61449
"254","792","5013.T","50130310","1","4","2","0.647624681847419","1.2938750365579","16",606.085632
"255","792","5013.T","50130312","1","3","2","0.582412643786598","1.29803199015056","15",631.163526
"256","792","5013.T","50130313","2","5","2","0.647624681847419","1.2938750365579","15",621.929174
"257","792","5013.T","50130314","2","3","2","-0.0293853753053774","-0.420521856117754","15",555.464954
"258","792","5013.T","50130317","2","5","2","0.647624681847419","1.2938750365579","13",667.282196
"259","792","5013.T","50130318","2","3","2","-2.55466486107729","-0.561846439353992","16",536.844498
"260","792","5013.T","50130319","1","5","2","0.647624681847419","1.2938750365579","16",645.958854
"261","792","5013.T","50130320","1","3","2","0.694387887902097","0.0254459073969422","14",520.29043
"262","792","5013.T","50130321","1","5","2","0.647624681847419","1.2938750365579","13",571.737766
"263","792","5014.T","50140302","1","3","2","0.443405687918585","0.14155983954526","14",543.657666
"264","792","5014.T","50140303","2","3","2","0.155532141816375","1.31741531356772","15",532.461304
"266","792","5014.T","50140305","1","2","2","0.609938376077376","0.667463955356372","13",553.540938
"267","792","5014.T","50140306","1","2","2","0.487163593514949","1.31248211228562","12",610.64501
"268","792","5014.T","50140307","2","4","2","0.647624681847419","1.2938750365579","13",511.847322
"270","792","5014.T","50140310","1","1","2","0.392491799266453","0.48965968247683","13",568.782256
"271","792","5014.T","50140311","2","3","2","0.548907457389456","0.227873683949782","11",573.34619
"272","792","5014.T","50140312","2","1","2","0.647624681847419","1.2938750365579","12",645.16028
"274","792","5014.T","50140314","2","5","2","0.265609106824517","0.0623749017358621","14",509.485226
"275","792","5014.T","50140315","2","3","2","0.647624681847419","1.2938750365579","13",629.50227
"276","792","5014.T","50140316","2","3","2","0.647624681847419","1.2938750365579","11",552.996852
"277","792","5014.T","50140318","2","2","2","0.711367320896764","0.436536451527479","11",491.858086
"278","792","5014.T","50140319","2","2","2","0.647624681847419","1.2938750365579","14",608.909092
"279","792","5014.T","50140321","2","2","2","-0.449130746890103","-0.287753349299374","14",434.978312
"280","792","5014.T","50140322","2","1","2","0.378398481668283","0.0719610446881835","10",506.645684
"281","792","5014.T","50140323","1","3","2","0.582205314524954","0.508759857715778","15",560.889216
"282","792","5014.T","50140324","2","3","2","0.647624681847419","1.2938750365579","11",629.291998
"283","792","5014.T","50140326","2","2","2","0.52645317723862","0.861120895995592","12",509.622004
"284","792","5014.T","50140327","1","3","2","0.457526803435568","1.30257156125435","12",534.221192
"285","792","5014.T","50140329","2","2","2","0.881091092577029","0.357194407555807","14",507.860762
"286","792","5014.T","50140330","2","3","2","0.717285356477626","0.347035486196697","10",574.212914
"288","792","5014.T","50140332","2","2","2","0.573549757350879","0.0222677100969099","14",646.056162
"289","792","5014.T","50140334","2","2","2","0.103807657692854","0.378855184984129","11",504.330712
"290","792","5014.T","50140335","1","3","2","0.319689222896961","1.3521812774168","13",721.463828
"291","792","5014.T","50140336","1","2","2","0.279347207695476","-0.118209999994684","12",573.798388
"292","792","5014.T","50140337","2","2","2","-0.917375176340969","0.655712715070106","15",623.97808
"293","792","5014.T","50140338","2","3","2","0.647624681847419","1.2938750365579","16",664.06856
"294","792","5014.T","50140339","2","2","2","-0.791646139346912","-0.548456225053868","15",514.179204
"296","792","5015.T","50150201","1","5","2","0.253254504586973","1.03291160307983","16",672.026916
"297","792","5015.T","50150202","1","4","2","0.174341379580068","-0.183722114310705","16",592.338888
"299","792","5015.T","50150205","1","3","2","0.496039298519108","0.455615748519796","15",606.00593
"300","792","5015.T","50150206","2","4","2","-1.02147852234824","1.57386267590801","16",682.963566
"301","792","5015.T","50150208","1","5","2","0.647624681847419","1.2938750365579","15",667.775292
"302","792","5015.T","50150209","1","3","2","0.354591262787917","1.35941289860543","16",642.635428
"303","792","5015.T","50150210","2","3","2","0.835679310406332","0.276676781711617","13",664.03013
"304","792","5015.T","50150211","2","3","2","0.779992690761313","0.665520130759726","15",697.365316
"305","792","5015.T","50150213","1","3","2","0.517127040342654","0.992606039878634","16",564.0536
"306","792","5015.T","50150214","2","3","2","0.484401805885433","1.33107632734977","15",656.996128
"307","792","5015.T","50150215","2","3","1","-0.57083402360525","0.223371389226906","15",553.132332
"308","792","5015.T","50150216","2","2","2","-0.0874035512913471","1.20243094579341","15",587.959116
"309","792","5015.T","50150217","2","4","2","-0.0356617269379924","1.32418138117971","15",637.788784
"310","792","5015.T","50150218","2","3","2","-0.00628111650359163","-0.52847223995366","15",500.936986
"311","792","5015.T","50150219","1","3","2","0.0428572874556591","0.980533114119527","15",523.274768
"312","792","5015.T","50150221","2","2","2","-0.0174513441105084","1.43446458220145","14",636.575846
"313","792","5015.T","50150222","2","1","2","0.611021675552058","0.923851021129105","13",520.977128
"314","792","5015.T","50150223","2","3","2","0.16322135187452","0.553275452730361","15",589.326542
"315","792","5015.T","50150224","1","1","2","0.723351361170918","0.912559534220573","16",602.975204
"316","792","5016.T","50160302","1","3","1","0.582805235012099","-0.649249374073801","13",389.76838
"317","792","5016.T","50160303","1","2","2","-0.618392186082372","0.143707306338745","12",497.49828
"318","792","5016.T","50160304","1","2","2","0.648936758023299","1.19249023914564","12",661.299942
"319","792","5016.T","50160305","1","2","2","0.447900968971072","0.402184130458389","13",547.610948
"320","792","5016.T","50160306","2","4","2","0.176708992043148","1.35374326879739","13",620.646518
"321","792","5016.T","50160308","1","1","2","0.214410593311517","1.04494757431186","13",499.70623
"322","792","5016.T","50160309","1","4","2","0.399545995228983","1.3574811503773","9",617.88154
"325","792","5016.T","50160313","2","3","2","0.763237137936405","-1.48509808569833","11",607.636956
"326","792","5016.T","50160314","2","4","2","-0.00556970160288021","0.751156867560881","13",519.562662
"329","792","5017.T","50171201","1","4","2","0.582412643786598","1.29803199015056","13",614.180654
"330","792","5017.T","50171203","2","2","2","0.27014371813567","-0.193649971839932","11",514.578514
"331","792","5017.T","50171205","2","2","2","0.534905103121614","0.884757146764285","14",587.672722
"332","792","5017.T","50171207","1","2","2","0.452464021335897","0.490284208992792","14",451.913616
"333","792","5017.T","50171208","1","1","2","0.647624681847419","1.2938750365579","15",675.7085
"334","792","5017.T","50171211","2","2","2","-0.363795904701662","-0.335490944033997","15",545.74672
"335","792","5017.T","50171212","1","3","2","0.205970414833243","1.15801115405512","14",590.098046
"336","792","5017.T","50171215","2","4","2","0.264080882252945","0.0872223735127029","14",506.509934
"337","792","5017.T","50171216","2","2","2","0.685488021509168","1.10321728538923","13",653.923274
"338","792","5017.T","50171217","2","3","2","0.499092286225314","1.35136547592126","10",617.039014
"339","792","5017.T","50171219","2","3","2","0.155370771411009","-0.4483795062846","14",590.50845
"340","792","5017.T","50171220","1","3","2","0.504644450993606","1.29543702793848","15",679.901776
"341","792","5017.T","50171221","2","3","2","0.502007118701194","0.263600446565671","14",603.442166
"342","792","5017.T","50171222","1","3","2","0.504644450993606","1.29543702793848","13",532.217652
"343","792","5017.T","50171223","2","3","2","-0.0183444759462793","0.980813456988915","13",520.053482
"345","792","5017.T","50171227","2","1","2","-3.08361047620897","-1.36351898070178","14",376.759062
"346","792","5017.T","50171228","2","4","2","0.647624681847419","1.2938750365579","15",627.278068
"347","792","5017.T","50171229","2","3","2","0.41010638256034","0.991154923650967","11",631.614618
"348","792","5017.T","50171230","1","5","2","0.299991279826487","0.624565507517973","14",614.188938
"350","792","5017.T","50171232","1","2","2","0.223872622394266","-1.53690868236753","14",464.113538
"352","792","5017.T","50171235","2","2","2","0.74185824058005","0.655014704325735","10",646.153002
"353","792","5017.T","50171236","2","2","2","0.0745541546655019","0.955635739198349","11",549.962618
"355","792","5017.T","50171238","2","3","2","0.643148282459127","0.661810693955593","13",666.812884
"356","792","5017.T","50171239","1","2","2","0.611130771767482","0.425730046547119","13",523.2057
"357","792","5017.T","50171240","1","3","2","0.582412643786598","1.29803199015056","12",578.751156
"358","792","5017.T","50171241","1","2","2","0.273606233513561","-1.08948770760765","11",405.541046
"359","792","5017.T","50171243","2","1","2","0.287136242536523","-1.25428634790502","12",387.626462
"360","792","5017.T","50171244","2","2","2","0.798870534214393","0.564047006357955","14",580.556736
"361","792","5018.T","50180201","2","2","2","0.243241458258437","-0.880226399087495","15",465.26732
"362","792","5018.T","50180204","1","5","2","0.647624681847419","1.2938750365579","16",623.79025
"363","792","5018.T","50180205","2","1","2","-0.147195914049933","-0.557752392977718","14",458.585086
"365","792","5018.T","50180207","1","5","2","0.72290972047336","0.443469422835543","16",589.772276
"366","792","5018.T","50180208","1","3","2","0.53529499622856","1.30516652346643","13",570.848396
"367","792","5018.T","50180210","2","3","2","0.723351361170918","0.912559534220573","14",607.675766
"368","792","5018.T","50180212","1","3","2","-2.00167386416176","-0.234520208437419","15",512.299632
"369","792","5018.T","50180213","1","4","2","0.647624681847419","1.2938750365579","15",687.902786
"372","792","5018.T","50180216","1","2","2","0.56493178630794","1.3150770744977","13",621.998942
